"","Id","treatment","flowering","SR","sdNDVI","CVNDVI","RaoQ","MPD","CHV","CVrefl","SpSp"
"41","D05","LP_LF_F",1,31,0.13932037463242,0.237557375705356,3.33565800662031,3.8668839329504,109.246948498393,0.410306650244577,48.6666666666667
"42","D06","Dac_glo_F",1,25,0.0929933001834016,0.140988611260716,2.19569797079363,2.50205771353022,105.606029208484,0.354899445327433,48.4444444444444
"43","D07","Hol_lan_U",0,23,0.101806729644087,0.162559599597924,2.09796244646424,2.36583691974582,42.6896644606664,0.387345724377892,47.3333333333333
"44","D08","Ach_mil_U",1,21,0.129465622517983,0.245990311971808,3.82831351056457,4.35526215121532,115.686533121757,0.393253495653823,47.3333333333333
"45","D09","LP_HF_U",1,24,0.0943071580784417,0.13788462404269,1.91563842703156,2.20442214089715,84.4359554056818,0.377822023375859,50.1111111111111
"46","D10","Lyc_flo_F",1,29,0.105943333127829,0.163431608896818,2.08642823128299,2.40757649791929,114.295879463559,0.412159016372948,46.3333333333333
"47","D11","Pla_med_F",1,25,0.110488062703837,0.190017839687151,2.1203300256717,2.44553147278239,66.8444448140501,0.359783793049285,46.8888888888889
"48","D12","Lot_cor_F",0,28,0.102199670236371,0.154588033857707,2.360828550527,2.68182827984502,36.8170165508787,0.360908957420599,49.1111111111111
"49","D13","Poa_pra_F",0,21,0.120386656137523,0.203106794319216,1.74336515122911,2.10123450606534,29.2843460729815,0.31023882618377,40
"50","D14","HP_LF_U",1,21,0.120849518087764,0.18424971035913,2.9778443999394,3.32560330070692,159.229536264341,0.457697937617503,42.2222222222222
"51","D15","HP_HF_U",0,21,0.0976099663271738,0.143590767929318,1.77519273378968,2.12233236813206,27.5665858036344,0.292299087692593,38.1111111111111
"52","D16","Hol_lan_U",1,21,0.124137934687091,0.209710900828137,1.96730364355754,2.29448540340301,46.6100753711573,0.354028678368384,31.5555555555556
"53","D17","HP_LF_F",1,24,0.105301973458416,0.151060604759586,2.13369961780427,2.47932339312071,53.5724013360325,0.352129685555861,49.2222222222222
"54","D18","LP_HF_U",1,19,0.138527993072587,0.247611456536046,3.64205846587666,4.06372171611163,57.5853262000815,0.45257218818104,50.4444444444444
"55","D19","Ach_mil_U",1,17,0.112140485160517,0.220185712319681,2.71237086298466,3.00465416138631,47.2311688964375,0.415926915210789,40.5555555555556
"56","E03","LP_LF_U",0,24,0.0945128150236767,0.141124503468445,1.77032939481387,2.02750565812592,32.2074254287028,0.357500705141355,47.5555555555556
"57","E04","LP_LF_F",0,22,0.090220021527683,0.13117609600717,2.19885279755505,2.4565854855516,18.3864434943267,0.400777842636178,49.6666666666667
"58","E05","Ant_odo_F",0,28,0.0863463442603215,0.119227700816828,2.35208961268592,2.65126279305027,40.7756543088334,0.393705960065302,50.2222222222222
"59","E06","LP_LF_F",1,27,0.139100404698951,0.242950708010909,3.39384355107924,3.87111435975629,93.0370006596189,0.436378138300307,50.2222222222222
"60","E07","LP_HF_U",0,21,0.0866520137860522,0.117961593728507,1.84869342909928,2.18509796299383,43.8934872725533,0.343158811836213,47
"61","E08","Lyc_flo_F",0,28,0.126760942094284,0.22016650140442,2.02506181921144,2.48355980713656,43.7467491448457,0.349765777539188,48.6666666666667
"62","E09","HP_LF_F",1,24,0.0957807579762692,0.136239056954223,1.84520429790581,2.13333812911252,78.0087224602061,0.35728802517081,49.6666666666667
"63","E10","HP_LF_U",1,18,0.0928796526256028,0.134852536890499,1.99910646212687,2.21815609396865,72.4929067151221,0.431649710101825,47.2222222222222
"64","E11","Ant_odo_F",0,14,0.106839526327718,0.156306534034612,2.67187031814557,3.00089318723324,55.6456106511608,0.423031880323008,50
"65","E12","LP_LF_U",1,25,0.113169061159653,0.175526678418065,2.25282620039756,2.58002028887654,113.745375924157,0.382712135082342,49.1111111111111
"66","E13","LP_HF_U",1,21,0.0915207700041564,0.146302791058022,1.99060949254173,2.32640383387126,57.1181225843216,0.349172657377751,21.3333333333333
"67","E14","HP_LF_U",1,15,0.132555563123518,0.241125358996574,3.19910141948888,3.67411508952135,100.105736826002,0.408172578901577,31.5555555555556
"68","E15","Dia_del_U",0,20,0.0888511800772844,0.132176737001545,1.61410573513966,1.90680743235295,59.5839593089224,0.278694155289761,24.7777777777778
"69","E16","HP_HF_F",1,18,0.0992384208188571,0.147861931696509,1.8323345375644,2.19079648367739,36.4967870742576,0.323686227457338,39.1111111111111
"70","E17","Poa_pra_U",0,17,0.100744378039337,0.158296326333873,1.56667071207429,1.86312009577616,22.8740376419942,0.280707814634172,41.3333333333333
"71","E18","Tri_arv_F",1,30,0.103834576039006,0.176358413437799,2.02058139837867,2.31610990693613,32.9195532388769,0.371195394738366,40
"72","E19","HP_LF_F",1,25,0.105086548098369,0.167456797655371,2.18774727379492,2.54846978804551,57.7498228969081,0.381843617599223,45.5555555555556
"73","E20","Alo_pra_U",0,28,0.106822703721065,0.189764947365486,1.58147585815028,1.82118748999194,30.0405770831852,0.355775415447155,39.6666666666667
"74","F03","HP_LF_F",1,25,0.116462630424283,0.179718545296413,2.5746641773689,2.8668627876418,88.310772320638,0.425798701377258,48.5555555555556
"75","F04","LP_LF_U",1,16,0.145038353933299,0.247775348914346,3.87548281581031,4.40151078912531,82.6466657198228,0.44045508141705,49.6666666666667
"76","F05","HP_LF_U",1,22,0.133202663484681,0.245889450166585,3.65193090920685,4.0615528807223,74.2208349078235,0.442081732232242,49
"77","F06","Tri_arv_F",0,30,0.104972020001356,0.156171565967768,1.83183571790328,2.18519181711687,45.2170885005441,0.338724129751473,49.7777777777778
"78","F07","Pla_lan_F",0,28,0.0955562559701068,0.154306172956607,1.8846531574077,2.13589732617775,60.1714593030754,0.343103691445576,40.7777777777778
"79","F08","LP_LF_F",1,30,0.124781106279365,0.183026363786006,3.05668377013348,3.38640592594166,138.08097694962,0.475329144430578,51
"80","F09","Pla_lan_F",0,31,0.0913727252083014,0.135852993252195,2.34684773885746,2.66302101730498,45.5290804280206,0.350260882436815,46.7777777777778
"81","F10","Vic_sep_U",1,30,0.104574200984194,0.150260975266515,2.3663003870171,2.66106213400832,117.614968480079,0.429884871691828,49.4444444444444
"82","F11","Pru_vul_U",0,22,0.104379110491641,0.159269716703709,2.39344160784137,2.71245022484591,19.5345939944147,0.422889258251747,43.6666666666667
"83","F12","Pla_med_U",0,23,0.105273705403884,0.185538481833473,1.8610951916662,2.14490601971833,31.8507851496963,0.328612709833192,25.3333333333333
"84","F13","LP_LF_F",0,20,0.0880380837381671,0.175488871319206,1.56146766432444,1.76503986568761,27.3273869601225,0.277706951020146,18.3333333333333
"85","F14","Ach_mil_F",1,15,0.122293490858813,0.24025237557117,3.21786909860253,3.652997715324,62.9490173982344,0.394758295505718,22.7777777777778
"86","F15","Alo_pra_U",1,19,0.104129417234354,0.172244002025709,1.6775916771269,1.94638794996169,33.4108951427621,0.359609346012281,19.8888888888889
"87","F16","Leu_vul_F",0,18,0.123614304108852,0.20647616345928,1.86860342390537,2.2321419110083,34.6195690605196,0.306875876050359,34.3333333333333
"88","F17","Leu_vul_U",0,18,0.103165601986202,0.160179692869334,1.57337460335918,1.8434923931267,37.6560503737251,0.28592658852577,34
"89","F18","HP_HF_F",0,32,0.0853190730397768,0.130920575972583,1.92344778118371,2.24549435736795,67.6492060016133,0.325285235455182,41.6666666666667
"90","F19","Ant_vul_U",1,21,0.107135317475453,0.177003701296095,2.30173826453926,2.60820941241248,116.618151738107,0.427004151282196,41.4444444444444
"91","F20","HP_HF_U",1,26,0.122487875593411,0.1804735467958,2.57960284899649,2.84282412663663,59.1957236457015,0.441256459853792,50.1111111111111
"92","G03","Ant_odo_U",1,30,0.119811363333606,0.17529760500157,2.26184972539042,2.59034756463549,91.9726753016122,0.426946499515841,51
"93","G04","Vic_sep_U",0,23,0.0945069207744494,0.129647563898037,2.19332961271202,2.63106963333141,31.222764806465,0.354618465958682,43.1111111111111
"94","G05","LP_LF_U",1,23,0.135816941553145,0.234569983298977,3.08099445628645,3.54716521373071,92.1458815956286,0.431396023555067,49.8888888888889
"95","G06","Leo_his_U",0,27,0.0919282844277026,0.137804296324274,1.33132682705538,1.65808329202435,12.5759513112201,0.269404566368617,48.6666666666667
"96","G07","Tri_arv_U",0,31,0.0923134097400984,0.14886188544617,1.60843033110182,1.8728386725038,54.1807756852553,0.319949191849293,48.3333333333333
"97","G08","Pru_vul_U",0,27,0.101852997162704,0.17481519533571,1.40299344708003,1.63663599040726,9.27072220465033,0.28542459765257,49.2222222222222
"98","G09","Ant_odo_U",0,21,0.0886711943292633,0.130200196166745,1.78071640571559,2.04793174025193,24.3363841302333,0.336044588456375,47.8888888888889
"99","G10","Lot_cor_U",0,27,0.0866030511648596,0.118817492168928,1.62118002864892,1.9542267279713,40.3670402998897,0.28379516213664,44.4444444444444
"100","G11","HP_LF_U",1,18,0.109697620289739,0.172739736420414,1.78701979656766,2.15428334666776,37.2828060387953,0.312449108586321,40.7777777777778
"101","G12","Leu_vul_F",0,23,0.0866262970907752,0.151376037363962,1.658605765165,1.91172259702535,18.8599868941844,0.257024414538151,31.4444444444444
"102","G13","HP_HF_U",1,21,0.115828949109555,0.23040501616798,3.56467126862821,4.08364123314177,92.7108733480013,0.401283173594316,29.8888888888889
"103","G14","LP_HF_U",1,25,0.105091680911253,0.184693914364651,2.24296479280936,2.54976413763122,93.0795776338133,0.339015021121112,30.4444444444444
"104","G15","HP_HF_F",1,27,0.108703636096788,0.195137262806727,1.76077311357059,2.0521379832141,46.9295482610059,0.283534109290562,29
"105","G16","Tri_pra_U",0,16,0.105885757340556,0.174054744032184,1.76190885905945,2.02633822347022,22.7119699240593,0.301788406837003,35.7777777777778
"106","G17","LP_HF_F",0,32,0.0837504158269346,0.123597176711154,1.83593782735618,2.09692546813014,29.8425237608498,0.290087265663351,47.8888888888889
"107","G18","Poa_pra_U",0,27,0.104440125870307,0.175732516856602,1.70563886705512,2.05112829625629,33.7241394278647,0.299542891586737,38.2222222222222
"108","G19","HP_HF_U",1,24,0.108260740810874,0.176249941502227,2.32325866611204,2.6609255351618,114.23577667191,0.418466369704018,48
"109","G20","Pla_med_F",0,29,0.10853641227265,0.193547520387042,1.53418442379458,1.79832953288672,35.3262480242093,0.299754014315907,48.5555555555556
"110","H02","Leo_his_F",0,18,0.117103952880819,0.178037982853816,1.82326719524622,2.16631790840883,43.9465837470375,0.390171625604069,47.5555555555556
"111","H03","LP_LF_F",0,26,0.113615512188393,0.195112971055842,1.70298223601123,1.95394372812062,20.624948501439,0.301544683890027,44.5555555555556
"112","H04","Pru_vul_F",0,22,0.115408848134925,0.197275392203713,1.39560344201956,1.68255316503591,25.5871998567405,0.293053277692544,42.6666666666667
"113","H05","Ant_odo_U",1,27,0.102492787335248,0.149109735732753,2.46812174927844,2.82224095935496,51.0050924745953,0.473917402516222,50.7777777777778
"114","H06","Tri_pra_F",0,28,0.0971125625113473,0.138916763202211,2.25276679296315,2.57649990647733,19.5500003823469,0.37067297297943,49.3333333333333
"115","H07","HP_LF_U",0,22,0.0869415848992954,0.130891830194445,1.948097383478,2.24970393050157,29.8734763079568,0.34128061679395,46.7777777777778
"116","H08","Lyc_flo_F",0,24,0.0860500449595039,0.125562410183424,1.52282178024421,1.83751859701393,17.9501141482093,0.269990635532672,46.2222222222222
